grn_no,voucher,supplier_name,date,nett_grn_amt,invalid_reason,voucher_prefix,voucher_number,fin_period,item_no,description
26434,INVI005315,E.K. CONSTRUCTION AND ALL GENERAL TRADING,2022-08-26,34921.25,INVI sequence gap or timing issue,INVI,005315,202208,269086,PLANT HIRE
26442,INVI005320,E.K. CONSTRUCTION AND ALL GENERAL TRADING,2022-08-31,293940.0,INVI sequence gap or timing issue,INVI,005320,202208,215231,hire
26442,INVI005320,E.K. CONSTRUCTION AND ALL GENERAL TRADING,2022-08-31,198720.0,INVI sequence gap or timing issue,INVI,005320,202208,275718,hire
26441,INVI005320,E.K. CONSTRUCTION AND ALL GENERAL TRADING,2022-08-31,148005.0,INVI sequence gap or timing issue,INVI,005320,202208,269086,PLANT HIRE
26442,INVI005320,E.K. CONSTRUCTION AND ALL GENERAL TRADING,2022-08-31,140118.3,INVI sequence gap or timing issue,INVI,005320,202208,170552,hire
26442,INVI005320,E.K. CONSTRUCTION AND ALL GENERAL TRADING,2022-08-31,99360.0,INVI sequence gap or timing issue,INVI,005320,202208,204591,hire
26444,INVI005321,E.K. CONSTRUCTION AND ALL GENERAL TRADING,2022-08-31,186300.0,INVI sequence gap or timing issue,INVI,005321,202208,269086,PLANT HIRE
26401,INVI005357,KHUWAIT GROUP OF COMPANIES,2022-08-18,128700.0,INVI sequence gap or timing issue,INVI,005357,202208,269086,PLANT HIRE
26540,INVI005367,HETANI TRADING ENTERPRISE (PTY) LTD,2022-09-13,76800.0,INVI sequence gap or timing issue,INVI,005367,202209,269086,PLANT HIRE
26541,INVI005367,HETANI TRADING ENTERPRISE (PTY) LTD,2022-09-13,72720.0,INVI sequence gap or timing issue,INVI,005367,202209,269086,PLANT HIRE
26542,INVI005367,HETANI TRADING ENTERPRISE (PTY) LTD,2022-09-13,64800.0,INVI sequence gap or timing issue,INVI,005367,202209,269086,PLANT HIRE
26552,INVI005374,KHUWAIT GROUP OF COMPANIES,2022-09-14,227500.0,INVI sequence gap or timing issue,INVI,005374,202209,269086,PLANT HIRE
26608,INVI005401,HETANI TRADING ENTERPRISE (PTY) LTD,2022-09-22,346725.0,INVI sequence gap or timing issue,INVI,005401,202209,269086,PLANT HIRE
30974,INVI007144,PJ SEBOTHE ENTERPRISE,2024-04-03,76990.0,INVI sequence gap or timing issue,INVI,007144,202404,229585,SUPPLY
32840,INVI007973,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,2025-03-27,974963.2,INVI sequence gap or timing issue,INVI,007973,202504,209074,MINISUB 400 KVA
32838,INVI007973,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,2025-03-27,631521.91,INVI sequence gap or timing issue,INVI,007973,202504,208967,MINISUBSTATION 315KVA/6.6-400V
32840,INVI007973,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,2025-03-27,237576.64,INVI sequence gap or timing issue,INVI,007973,202504,212733,TRANSFORMER 500 KVA
32744,INVI007973,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,2025-03-07,184000.0,INVI sequence gap or timing issue,INVI,007973,202503,H000007032,HIRING OF A GRADER
32745,INVI007973,MOHAUMOLUTSI CIVIL WORKS (PTY) LTD,2025-03-07,92000.0,INVI sequence gap or timing issue,INVI,007973,202503,167226,HIRE OF WATER TANKER
32886,INVI008041,HA MAT OME AND SONS TRADING ANS PROJECTS,2025-04-09,423200.0,INVI sequence gap or timing issue,INVI,008041,202504,138270,SUPPLY AND DELIVERY
33164,INVI008151,DIRABOTLE PROJECTS (PTY) LTD,2025-05-27,5869554.0,INVI sequence gap or timing issue,INVI,008151,202505,SUPPLY,supply and delivery
33286,INVI008204,SUNDAY KIT UNIFORM SUPPLIES CC,2025-06-11,38870.0,INVI sequence gap or timing issue,INVI,008204,202506,175606,JUMPSUITS
33134,INVI008205,ELEGANT LINE TRADING 785 CC,2025-05-15,23908.5,INVI sequence gap or timing issue,INVI,008205,202505,224688,REPAIR AND MAINTENANCE
33288,INVI008205,ELEGANT LINE TRADING 785 CC,2025-06-11,6900.0,INVI sequence gap or timing issue,INVI,008205,202506,224688,REPAIR AND MAINTENANCE
33284,INVI008206,MK PROJECTS (PTY) PTY,2025-06-11,260000.0,INVI sequence gap or timing issue,INVI,008206,202506,271401,MAINTENANCE
33284,INVI008206,MK PROJECTS (PTY) PTY,2025-06-11,20800.0,INVI sequence gap or timing issue,INVI,008206,202506,214669,MAINTENANCE
33284,INVI008206,MK PROJECTS (PTY) PTY,2025-06-11,7384.0,INVI sequence gap or timing issue,INVI,008206,202506,279623,MAINTENANCE
33284,INVI008206,MK PROJECTS (PTY) PTY,2025-06-11,1365.0,INVI sequence gap or timing issue,INVI,008206,202506,288908,MAINTENANCE
33299,INVI008207,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,2025-06-12,149833.5,INVI sequence gap or timing issue,INVI,008207,202506,224688,REPAIR AND MAINTENANCE
33293,INVI008207,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,2025-06-11,50025.0,INVI sequence gap or timing issue,INVI,008207,202506,C000002004,CABLE
33294,INVI008207,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,2025-06-11,41364.47,INVI sequence gap or timing issue,INVI,008207,202506,224688,REPAIR AND MAINTENANCE
33293,INVI008207,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,2025-06-11,9660.0,INVI sequence gap or timing issue,INVI,008207,202506,J274950,JOINT KIT  P3.5
33293,INVI008207,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,2025-06-11,7693.5,INVI sequence gap or timing issue,INVI,008207,202506,T000190119,TERMINATION
33292,INVI008207,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,2025-06-11,6727.5,INVI sequence gap or timing issue,INVI,008207,202506,C290828,CHERRY PICKER
33292,INVI008207,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,2025-06-11,4454.64,INVI sequence gap or timing issue,INVI,008207,202506,290590,CRANE TRUCK HIRED
33292,INVI008207,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,2025-06-11,3390.66,INVI sequence gap or timing issue,INVI,008207,202506,207415,TLB
33315,INVI008220,@ OFFICE WORLD,2025-06-12,1143.96,INVI sequence gap or timing issue,INVI,008220,202506,133522,TONER
33259,INVI008236,RKW HOLDINGS,2025-06-10,161984.1,INVI sequence gap or timing issue,INVI,008236,202506,205167,CABLE JOINT MIRP-1
33375,INVI008254,BILLEARS PERPETUAL TRADING ENTERPRISE CC,2025-06-23,76000.0,INVI sequence gap or timing issue,INVI,008254,202506,REP & MAIN,repair and maintanance
33396,INVI008254,BILLEARS PERPETUAL TRADING ENTERPRISE CC,2025-06-25,25046.8,INVI sequence gap or timing issue,INVI,008254,202506,138270,SUPPLY AND DELIVERY
33397,INVI008254,BILLEARS PERPETUAL TRADING ENTERPRISE CC,2025-06-25,22325.6,INVI sequence gap or timing issue,INVI,008254,202506,SUPPLY,supply and delivery
33377,INVI008256,LAUSVITA TRADING,2025-06-23,28000.0,INVI sequence gap or timing issue,INVI,008256,202506,206188,REPLACE
33378,INVI008257,GIFTX BUSINESS ENTERPRISE (PTY) LTD,2025-06-23,28410.4,INVI sequence gap or timing issue,INVI,008257,202506,138270,SUPPLY AND DELIVERY
33398,INVI008257,GIFTX BUSINESS ENTERPRISE (PTY) LTD,2025-06-25,18172.5,INVI sequence gap or timing issue,INVI,008257,202506,SUPPLY,supply and delivery
33393,INVI008264,TJTK TRADING/SEBENZA ENGINEERING PROJECTS JV,2025-06-24,184000.0,INVI sequence gap or timing issue,INVI,008264,202506,H000007032,HIRING OF A GRADER
33411,INVI008270,KHUWAIT HOLDINGS JV TLOPO CONSTRUCTION,2025-06-25,14087.5,INVI sequence gap or timing issue,INVI,008270,202506,139295,HIRE OF CRAWLER EXCAVATOR & TI
33416,INVI008272,LIGHTS & SIRENS TECHNOLOGY,2025-06-25,17807.98,INVI sequence gap or timing issue,INVI,008272,202506,SUPPLY,supply and delivery
33415,INVI008272,LIGHTS & SIRENS TECHNOLOGY,2025-06-25,15393.9,INVI sequence gap or timing issue,INVI,008272,202506,SUPPLY,supply and delivery
33512,INVI008279,RONMAR OFFICE EQUIPMENT,2025-07-01,302119.43,INVI sequence gap or timing issue,INVI,008279,202506,138270,SUPPLY AND DELIVERY
